filename,Classes,Labels
2049579.jpg,C-130,42
1196802.jpg,C-130,42
0958085.jpg,C-130,42
1522562.jpg,C-130,42
2260054.jpg,C-130,42
0962825.jpg,C-130,42
1534869.jpg,C-130,42
1255008.jpg,C-47,43
1336323.jpg,C-47,43
1278429.jpg,C-47,43
0586259.jpg,C-47,43
1619369.jpg,C-47,43
0800871.jpg,C-47,43
1455902.jpg,C-47,43
0340217.jpg,CRJ-200,44
1379571.jpg,CRJ-200,44
0313724.jpg,CRJ-200,44
0662509.jpg,CRJ-200,44
0184899.jpg,CRJ-200,44
1616482.jpg,CRJ-200,44
0136184.jpg,CRJ-200,44
0435289.jpg,CRJ-700,45
2059195.jpg,CRJ-700,45
1719820.jpg,CRJ-700,45
0929800.jpg,CRJ-700,45
1189525.jpg,CRJ-700,45
0728571.jpg,CRJ-700,45
0476813.jpg,CRJ-700,45
1342007.jpg,CRJ-900,46
1124972.jpg,CRJ-900,46
1517329.jpg,CRJ-900,46
1762142.jpg,CRJ-900,46
1663301.jpg,CRJ-900,46
2193787.jpg,CRJ-900,46
1708263.jpg,CRJ-900,46
1726480.jpg,Cessna 172,47
2244487.jpg,Cessna 172,47
1709268.jpg,Cessna 172,47
0564217.jpg,Cessna 172,47
1488620.jpg,Cessna 172,47
1103952.jpg,Cessna 172,47
0896106.jpg,Cessna 172,47
1036821.jpg,Cessna 208,48
0279893.jpg,Cessna 208,48
1345203.jpg,Cessna 208,48
0816285.jpg,Cessna 208,48
0995399.jpg,Cessna 208,48
1156006.jpg,Cessna 208,48
1347237.jpg,Cessna 208,48
1550758.jpg,Cessna 525,49
1681554.jpg,Cessna 525,49
1560577.jpg,Cessna 525,49
2040355.jpg,Cessna 525,49
2066882.jpg,Cessna 525,49
0093500.jpg,Cessna 525,49
1806229.jpg,Cessna 525,49
1970744.jpg,Cessna 560,50
0584541.jpg,Cessna 560,50
1900831.jpg,Cessna 560,50
1158577.jpg,Cessna 560,50
1239645.jpg,Cessna 560,50
0524795.jpg,Cessna 560,50
0781149.jpg,Cessna 560,50
1254187.jpg,Challenger 600,51
2137132.jpg,Challenger 600,51
1943166.jpg,Challenger 600,51
1966540.jpg,Challenger 600,51
0239592.jpg,Challenger 600,51
1387066.jpg,Challenger 600,51
1037167.jpg,Challenger 600,51
1627560.jpg,DC-10,52
1288663.jpg,DC-10,52
0968446.jpg,DC-10,52
0610689.jpg,DC-10,52
0102237.jpg,DC-10,52
1153404.jpg,DC-10,52
0538339.jpg,DC-10,52
0773533.jpg,DC-3,53
0642084.jpg,DC-3,53
0768395.jpg,DC-3,53
0960175.jpg,DC-3,53
0730802.jpg,DC-3,53
0306459.jpg,DC-3,53
0692381.jpg,DC-3,53
0796296.jpg,DC-6,54
1588561.jpg,DC-6,54
0920422.jpg,DC-6,54
1036806.jpg,DC-6,54
0280174.jpg,DC-6,54
0564009.jpg,DC-6,54
0598378.jpg,DC-6,54
0171412.jpg,DC-8,55
0116710.jpg,DC-8,55
0547003.jpg,DC-8,55
0147042.jpg,DC-8,55
0723126.jpg,DC-8,55
1514524.jpg,DC-8,55
0353524.jpg,DC-8,55
0901350.jpg,DC-9-30,56
1037614.jpg,DC-9-30,56
1667009.jpg,DC-9-30,56
0065221.jpg,DC-9-30,56
0062255.jpg,DC-9-30,56
0198449.jpg,DC-9-30,56
0302650.jpg,DC-9-30,56
1001821.jpg,DH-82,57
1019430.jpg,DH-82,57
1914385.jpg,DH-82,57
0820512.jpg,DH-82,57
1411124.jpg,DH-82,57
0730316.jpg,DH-82,57
2175577.jpg,DH-82,57
2175563.jpg,DHC-1,58
1534866.jpg,DHC-1,58
1906812.jpg,DHC-1,58
1379879.jpg,DHC-1,58
1705402.jpg,DHC-1,58
2026690.jpg,DHC-1,58
1370455.jpg,DHC-1,58
0687278.jpg,DHC-6,59
0540390.jpg,DHC-6,59
2005091.jpg,DHC-6,59
1384617.jpg,DHC-6,59
1449320.jpg,DHC-6,59
1900936.jpg,DHC-6,59
0843965.jpg,DHC-6,59
0630229.jpg,DHC-8-100,60
0064627.jpg,DHC-8-100,60
1683145.jpg,DHC-8-100,60
0127502.jpg,DHC-8-100,60
2057958.jpg,DHC-8-100,60
1412618.jpg,DHC-8-100,60
0114425.jpg,DHC-8-100,60
0835324.jpg,DHC-8-300,61
1714818.jpg,DHC-8-300,61
1043724.jpg,DHC-8-300,61
1144436.jpg,DHC-8-300,61
1219389.jpg,DHC-8-300,61
2264968.jpg,DHC-8-300,61
1043793.jpg,DHC-8-300,61
1382204.jpg,DR-400,62
1222829.jpg,DR-400,62
1408695.jpg,DR-400,62
1606079.jpg,DR-400,62
2259663.jpg,DR-400,62
1634649.jpg,DR-400,62
1318818.jpg,DR-400,62
0943962.jpg,Dornier 328,63
1092265.jpg,Dornier 328,63
0063918.jpg,Dornier 328,63
1326646.jpg,Dornier 328,63
0492492.jpg,Dornier 328,63
2123970.jpg,Dornier 328,63
2170856.jpg,Dornier 328,63
1260870.jpg,E-170,64
2175372.jpg,E-170,64
2213540.jpg,E-170,64
2201797.jpg,E-170,64
2239296.jpg,E-170,64
1286492.jpg,E-170,64
1548402.jpg,E-170,64
2264793.jpg,E-190,65
1594059.jpg,E-190,65
1385441.jpg,E-190,65
2060454.jpg,E-190,65
1949040.jpg,E-190,65
2054455.jpg,E-190,65
2100821.jpg,E-190,65
2227561.jpg,E-195,66
1619847.jpg,E-195,66
1779182.jpg,E-195,66
1905022.jpg,E-195,66
1682041.jpg,E-195,66
2115085.jpg,E-195,66
2054441.jpg,E-195,66
1519466.jpg,EMB-120,67
0448054.jpg,EMB-120,67
1390673.jpg,EMB-120,67
0697383.jpg,EMB-120,67
0999159.jpg,EMB-120,67
1695911.jpg,EMB-120,67
2006024.jpg,EMB-120,67
1129151.jpg,ERJ 135,68
1204260.jpg,ERJ 135,68
2153514.jpg,ERJ 135,68
1414284.jpg,ERJ 135,68
0285462.jpg,ERJ 135,68
0961756.jpg,ERJ 135,68
1162898.jpg,ERJ 135,68
0185324.jpg,ERJ 145,69
0396527.jpg,ERJ 145,69
1376551.jpg,ERJ 145,69
0800636.jpg,ERJ 145,69
1345199.jpg,ERJ 145,69
0067670.jpg,ERJ 145,69
0842353.jpg,ERJ 145,69
2180061.jpg,Embraer Legacy 600,70
1602123.jpg,Embraer Legacy 600,70
1312876.jpg,Embraer Legacy 600,70
1471734.jpg,Embraer Legacy 600,70
2205702.jpg,Embraer Legacy 600,70
0993510.jpg,Embraer Legacy 600,70
2123927.jpg,Embraer Legacy 600,70
1966169.jpg,Eurofighter Typhoon,71
1251381.jpg,Eurofighter Typhoon,71
1952462.jpg,Eurofighter Typhoon,71
1576113.jpg,Eurofighter Typhoon,71
1496924.jpg,Eurofighter Typhoon,71
2136384.jpg,Eurofighter Typhoon,71
1373009.jpg,Eurofighter Typhoon,71
2145444.jpg,F-16A/B,72
1364706.jpg,F-16A/B,72
1592597.jpg,F-16A/B,72
2123710.jpg,F-16A/B,72
2118954.jpg,F-16A/B,72
1463710.jpg,F-16A/B,72
1223797.jpg,F-16A/B,72
0896698.jpg,F/A-18,73
1596391.jpg,F/A-18,73
1283304.jpg,F/A-18,73
1119461.jpg,F/A-18,73
1842075.jpg,F/A-18,73
1416499.jpg,F/A-18,73
1113294.jpg,F/A-18,73
1907482.jpg,Falcon 2000,74
1795170.jpg,Falcon 2000,74
0848170.jpg,Falcon 2000,74
0468262.jpg,Falcon 2000,74
1154703.jpg,Falcon 2000,74
1311585.jpg,Falcon 2000,74
2097519.jpg,Falcon 2000,74
1792325.jpg,Falcon 900,75
0753075.jpg,Falcon 900,75
0550418.jpg,Falcon 900,75
1900832.jpg,Falcon 900,75
0384439.jpg,Falcon 900,75
1187247.jpg,Falcon 900,75
0233772.jpg,Falcon 900,75
0675672.jpg,Fokker 100,76
0399871.jpg,Fokker 100,76
0182735.jpg,Fokker 100,76
0074517.jpg,Fokker 100,76
1220713.jpg,Fokker 100,76
0912143.jpg,Fokker 100,76
0143377.jpg,Fokker 100,76
0454779.jpg,Fokker 50,77
0127633.jpg,Fokker 50,77
1426513.jpg,Fokker 50,77
1756560.jpg,Fokker 50,77
2259847.jpg,Fokker 50,77
1260869.jpg,Fokker 50,77
1099957.jpg,Fokker 50,77
1772014.jpg,Fokker 70,78
1361692.jpg,Fokker 70,78
1296002.jpg,Fokker 70,78
1893205.jpg,Fokker 70,78
1044385.jpg,Fokker 70,78
0989702.jpg,Fokker 70,78
0136150.jpg,Fokker 70,78
1800217.jpg,Global Express,79
0774288.jpg,Global Express,79
1276526.jpg,Global Express,79
0318594.jpg,Global Express,79
1048552.jpg,Global Express,79
1409998.jpg,Global Express,79
2188615.jpg,Global Express,79
0447806.jpg,Gulfstream IV,80
1092415.jpg,Gulfstream IV,80
1113385.jpg,Gulfstream IV,80
1410102.jpg,Gulfstream IV,80
1195689.jpg,Gulfstream IV,80
1311421.jpg,Gulfstream IV,80
1111016.jpg,Gulfstream IV,80
1008569.jpg,Gulfstream V,81
0555526.jpg,Gulfstream V,81
1053425.jpg,Gulfstream V,81
1098609.jpg,Gulfstream V,81
1908679.jpg,Gulfstream V,81
2041416.jpg,Gulfstream V,81
1749597.jpg,Gulfstream V,81
1859253.jpg,Hawk T1,82
0893717.jpg,Hawk T1,82
1574584.jpg,Hawk T1,82
1244760.jpg,Hawk T1,82
1452537.jpg,Hawk T1,82
1822339.jpg,Hawk T1,82
1551549.jpg,Hawk T1,82
0523184.jpg,Il-76,83
0737312.jpg,Il-76,83
0757186.jpg,Il-76,83
1063985.jpg,Il-76,83
1050578.jpg,Il-76,83
1617995.jpg,Il-76,83
0811679.jpg,Il-76,83
1200650.jpg,L-1011,84
1277604.jpg,L-1011,84
0829650.jpg,L-1011,84
1010683.jpg,L-1011,84
0783899.jpg,L-1011,84
1287739.jpg,L-1011,84
0063277.jpg,L-1011,84
0449729.jpg,MD-11,85
1123299.jpg,MD-11,85
1852373.jpg,MD-11,85
1973423.jpg,MD-11,85
0968445.jpg,MD-11,85
1636315.jpg,MD-11,85
0980556.jpg,MD-11,85
1421262.jpg,MD-80,86
0665003.jpg,MD-80,86
0704265.jpg,MD-80,86
0702840.jpg,MD-80,86
1095342.jpg,MD-80,86
1636453.jpg,MD-80,86
0063272.jpg,MD-80,86
0782915.jpg,MD-87,87
0187233.jpg,MD-87,87
1227256.jpg,MD-87,87
1383342.jpg,MD-87,87
0109457.jpg,MD-87,87
1467694.jpg,MD-87,87
1004662.jpg,MD-87,87
2247794.jpg,MD-90,88
0719543.jpg,MD-90,88
0622055.jpg,MD-90,88
1429156.jpg,MD-90,88
0487344.jpg,MD-90,88
1469731.jpg,MD-90,88
1340282.jpg,MD-90,88
0109656.jpg,Metroliner,89
0132987.jpg,Metroliner,89
0984996.jpg,Metroliner,89
0063920.jpg,Metroliner,89
1569462.jpg,Metroliner,89
0447765.jpg,Metroliner,89
0405438.jpg,Metroliner,89
1319235.jpg,Model B200,90
1933878.jpg,Model B200,90
1859488.jpg,Model B200,90
1523054.jpg,Model B200,90
1843606.jpg,Model B200,90
1054551.jpg,Model B200,90
1472109.jpg,Model B200,90
1507344.jpg,PA-28,91
1116484.jpg,PA-28,91
1179294.jpg,PA-28,91
1593589.jpg,PA-28,91
1798545.jpg,PA-28,91
1311406.jpg,PA-28,91
1593381.jpg,PA-28,91
1747769.jpg,SR-20,92
1234236.jpg,SR-20,92
2014222.jpg,SR-20,92
1281757.jpg,SR-20,92
1482541.jpg,SR-20,92
1278141.jpg,SR-20,92
1104662.jpg,SR-20,92
0711206.jpg,Saab 2000,93
1312743.jpg,Saab 2000,93
1014304.jpg,Saab 2000,93
0451224.jpg,Saab 2000,93
0962576.jpg,Saab 2000,93
0114421.jpg,Saab 2000,93
1966254.jpg,Saab 2000,93
1668966.jpg,Saab 340,94
0740887.jpg,Saab 340,94
1895223.jpg,Saab 340,94
0114415.jpg,Saab 340,94
0562555.jpg,Saab 340,94
0098085.jpg,Saab 340,94
0437932.jpg,Saab 340,94
0902419.jpg,Spitfire,95
1250763.jpg,Spitfire,95
2132425.jpg,Spitfire,95
1373249.jpg,Spitfire,95
1969068.jpg,Spitfire,95
1754084.jpg,Spitfire,95
1735417.jpg,Spitfire,95
1859254.jpg,Tornado,96
2118956.jpg,Tornado,96
2063400.jpg,Tornado,96
0891419.jpg,Tornado,96
1335029.jpg,Tornado,96
1607515.jpg,Tornado,96
1931348.jpg,Tornado,96
0618972.jpg,Tu-134,97
0523142.jpg,Tu-134,97
0523009.jpg,Tu-134,97
1182715.jpg,Tu-134,97
0921289.jpg,Tu-134,97
0062669.jpg,Tu-134,97
1312387.jpg,Tu-134,97
0062675.jpg,Tu-154,98
0901364.jpg,Tu-154,98
1430019.jpg,Tu-154,98
1447126.jpg,Tu-154,98
1302750.jpg,Tu-154,98
1088786.jpg,Tu-154,98
1590459.jpg,Tu-154,98
0066408.jpg,Yak-42,99
1611239.jpg,Yak-42,99
1544139.jpg,Yak-42,99
1000013.jpg,Yak-42,99
1627581.jpg,Yak-42,99
1696014.jpg,Yak-42,99
1581695.jpg,Yak-42,99
